device,policy,freq_khz,static,active,idle0,idle1
MT6858,4,650000,1.1386,60.6556,7.5104,0
MT6858,4,750000,1.304,71.3334,7.8943,0
MT6858,4,850000,1.4655,84.812,8.1808,0
MT6858,4,950000,1.6391,93.6685,8.3934,0
MT6858,4,1050000,2.224,104.6398,8.8742,0
MT6858,4,1150000,2.6479,118.3516,9.3298,0
MT6858,4,1250000,3.0331,131.6322,9.8346,0
MT6858,4,1350000,3.268,148.311,10.7105,0
MT6858,4,1450000,3.3719,160.4505,11.2647,0
MT6858,4,1550000,3.8592,173.3761,11.6681,0
MT6858,4,1650000,3.9657,189.948,12.8093,0
MT6858,4,1750000,3.959,210.5521,13.8274,0
MT6858,4,1850000,5.1282,233.4979,14.8081,0
MT6858,4,1950000,5.6811,260.1345,15.7147,0
MT6858,4,2050000,5.8171,287.7143,17.7507,0
MT6858,4,2150000,6.2023,306.321,18.4799,0
MT6858,4,2200000,6.8567,328.0594,19.7865,0
MT6858,4,2250000,7.2829,339.8951,20.1197,0
MT6858,4,2300000,7.7004,358.6947,21.226,0
MT6858,4,2350000,7.8282,416.6683,22.299,0
MT6858,4,2400000,7.9761,429.4358,23.1189,0
