device,policy,freq_khz,dep_policy,dep_freq,static,active,idle0,idle1,interconnect
MT6858,0,650000,4,650000,5.5735,33.0095,6.6836,0.0,0
MT6858,0,650000,4,750000,6.4148,34.0531,5.9357,0.0,0
MT6858,0,650000,4,850000,6.2226,34.1032,5.6832,0.0,0
MT6858,0,650000,4,950000,5.4159,32.7685,6.6175,0.0,0
MT6858,0,650000,4,1050000,9.9225,44.4768,5.4564,0.0,0
MT6858,0,650000,4,1150000,11.1188,49.2531,5.5823,0.0,0
MT6858,0,650000,4,1250000,9.3944,54.2767,7.9975,0.0,0
MT6858,0,650000,4,1350000,10.2552,81.4111,7.9642,0.0,0
MT6858,0,650000,4,1450000,14.5687,65.4353,6.4475,0.0,0
MT6858,0,650000,4,1550000,16.1751,71.2496,6.3477,0.0,0
MT6858,0,650000,4,1650000,18.8845,74.7992,6.3913,0.0,0
MT6858,0,650000,4,1750000,21.108,82.4387,7.0616,0.0,0
MT6858,0,650000,4,1850000,22.4023,87.9115,7.4267,0.0,0
MT6858,0,650000,4,1950000,27.9632,93.8281,6.8932,0.0,0
MT6858,0,650000,4,2050000,31.6042,97.6227,5.8143,0.0,0
MT6858,0,650000,4,2150000,31.4965,114.7644,7.0159,0.0,0
MT6858,0,650000,4,2200000,39.3869,118.1007,5.1094,0.0,0
MT6858,0,650000,4,2250000,38.7977,125.6828,5.3589,0.0,0
MT6858,0,650000,4,2300000,40.6609,118.4193,4.2287,0.0,0
MT6858,0,650000,4,2350000,41.0965,122.0796,3.8945,0.0,0
MT6858,0,650000,4,2400000,35.6183,129.7476,7.7961,0.0,0
MT6858,0,700000,4,650000,3.1661,36.5017,8.8415,0.0,0
MT6858,0,700000,4,750000,4.8074,34.9774,7.8759,0.0,0
MT6858,0,700000,4,850000,5.9412,33.5207,7.2197,0.0,0
MT6858,0,700000,4,950000,5.0619,34.7213,7.0336,0.0,0
MT6858,0,700000,4,1050000,7.3953,46.688,7.9482,0.0,0
MT6858,0,700000,4,1150000,8.4069,54.0398,8.2106,0.0,0
MT6858,0,700000,4,1250000,10.1859,56.8235,7.5573,0.0,0
MT6858,0,700000,4,1350000,13.8959,58.1574,5.7988,0.0,0
MT6858,0,700000,4,1450000,18.264,60.6271,3.703,0.0,0
MT6858,0,700000,4,1550000,23.1102,65.0822,2.9808,0.0,0
MT6858,0,700000,4,1650000,22.5344,79.7316,3.9106,0.0,0
MT6858,0,700000,4,1750000,24.3986,76.4358,4.179,0.0,0
MT6858,0,700000,4,1850000,27.4576,83.6404,4.1378,0.0,0
MT6858,0,700000,4,1950000,29.421,96.3436,4.4254,0.0,0
MT6858,0,700000,4,2050000,28.8191,111.1185,7.1954,0.0,0
MT6858,0,700000,4,2150000,30.3427,108.803,11.713,0.0,0
MT6858,0,700000,4,2200000,35.7854,127.9571,8.8609,0.0,0
MT6858,0,700000,4,2250000,33.2235,128.6554,9.909,0.0,0
MT6858,0,700000,4,2300000,32.6226,133.7913,10.6954,0.0,0
MT6858,0,700000,4,2350000,33.7614,131.1221,9.6371,0.0,0
MT6858,0,700000,4,2400000,32.6227,137.1315,11.0866,0.0,0
MT6858,0,750000,4,650000,1.8188,38.6334,10.3669,0.0,0
