device,policy,freq_khz,static,active,idle0,idle1
SM8750,0,384000,19.92,62.91,6.93,0
SM8750,0,556800,20.79,84.08,7.27,0
SM8750,0,748800,22.86,108.69,7.41,0
SM8750,0,960000,27.53,129.76,5.51,0
SM8750,0,1152000,27.3,162.22,8.46,0
SM8750,0,1363200,31.01,194.58,9.13,0
SM8750,0,1555200,33.91,227.81,9.77,0
SM8750,0,1785600,41.06,269.59,11.2,0
SM8750,0,1996800,43.99,312.84,14.14,0
SM8750,0,2227200,50.97,370.89,13.79,0
SM8750,0,2400000,59.39,408.97,14.49,0
SM8750,0,2745600,75.11,499.97,18.29,0
SM8750,0,2784000,75.11,499.97,18.29,0
SM8750,0,2918400,107.65,597.46,22.03,0
SM8750,0,3072000,175.25,686.03,27.4,0
SM8750,0,3321600,198.56,839.91,31.63,0
SM8750,0,3532800,224.19,1032.5,37.31,0
SM8750,6,1017600,24.55,220.93,20.35,0
SM8750,6,1209600,27.61,252.23,20.73,0
SM8750,6,1401600,30.35,294.92,21.86,0
SM8750,6,1689600,37.37,360.76,25.44,0
SM8750,6,1958400,41.37,424.19,27.18,0
SM8750,6,2246400,48.57,494.78,30.12,0
SM8750,6,2438400,50.53,577.92,36.63,0
SM8750,6,2649600,65.05,659.9,38.49,0
SM8750,6,2841600,69.73,744.23,43.04,0
SM8750,6,3072000,78.39,841.8,47.28,0
SM8750,6,3283200,104.08,949.18,54,0
SM8750,6,3513600,157.77,1107,67.32,0
SM8750,6,3840000,348.86,1493.3,97.44,0
SM8750,6,4089600,373.95,1768.79,113.45,0
SM8750,6,4243200,534.13,1990.9,128.35,0
SM8750,6,4377600,558.21,2116.72,128.82,0
