device,policy,freq_khz,dep_policy,dep_freq,static,active,idle0,idle1,interconnect
SXR2230P,0,691200,2,691200,5.34,73.1,4.23,0,0
SXR2230P,0,691200,2,960000,6.7,83.35,3.49,0,0
SXR2230P,0,691200,2,1094400,7.42,86.89,3.18,0,0
SXR2230P,0,691200,2,1228800,6.29,89.16,3.96,0,0
SXR2230P,0,691200,2,1382400,7.4,93.91,3.61,0,0
SXR2230P,0,691200,2,1516800,5.02,96.56,4.33,0,0
SXR2230P,0,691200,2,1651200,7.95,114.92,3.23,0,0
SXR2230P,0,691200,2,1920000,5.23,142.71,4.86,0,0
SXR2230P,0,691200,2,2054400,7.42,147.29,3.42,0,0
SXR2230P,0,691200,2,2208000,6.0,153.88,4.15,0,0
SXR2230P,0,691200,2,2361600,5.47,158.24,4.7,0,0
SXR2230P,0,960000,2,691200,4.43,112.69,5.76,0,0
SXR2230P,0,960000,2,960000,7.97,119.75,3.93,0,0
SXR2230P,0,960000,2,1094400,7.95,127.6,4.3,0,0
SXR2230P,0,960000,2,1228800,7.82,127.88,4.13,0,0
SXR2230P,0,960000,2,1382400,8.95,132.33,3.57,0,0
SXR2230P,0,960000,2,1516800,8.5,139.06,3.34,0,0
SXR2230P,0,960000,2,1651200,7.89,145.34,4.46,0,0
SXR2230P,0,960000,2,1920000,9.37,105.38,3.49,0,0
SXR2230P,0,960000,2,2054400,10.28,168.55,3.23,0,0
SXR2230P,0,960000,2,2208000,7.63,178.74,4.68,0,0
SXR2230P,0,960000,2,2361600,9.65,184.9,3.74,0,0
SXR2230P,0,1094400,2,691200,5.8,113.33,5.92,0,0
SXR2230P,0,1094400,2,960000,9.25,122.61,4.16,0,0
SXR2230P,0,1094400,2,1094400,9.25,140.83,4.07,0,0
SXR2230P,0,1094400,2,1228800,8.5,146.5,4.94,0,0
SXR2230P,0,1094400,2,1382400,8.0,151.15,5.13,0,0
SXR2230P,0,1094400,2,1516800,8.9,155.82,4.71,0,0
SXR2230P,0,1094400,2,1651200,8.99,160.4,4.72,0,0
SXR2230P,0,1094400,2,1920000,8.16,151.02,5.6,0,0
SXR2230P,0,1094400,2,2054400,10.33,181.34,3.76,0,0
SXR2230P,0,1094400,2,2208000,9.23,190.48,4.7,0,0
SXR2230P,0,1094400,2,2361600,10.46,199.27,3.99,0,0
SXR2230P,0,1228800,2,691200,10.06,174.09,4.73,0,0
SXR2230P,0,1228800,2,960000,10.44,151.01,4.34,0,0
SXR2230P,0,1228800,2,1094400,9.46,179.44,4.86,0,0
SXR2230P,0,1228800,2,1228800,9.55,179.64,4.6,0,0
SXR2230P,0,1228800,2,1382400,9.37,183.18,4.83,0,0
SXR2230P,0,1228800,2,1516800,10.14,186.37,4.49,0,0
SXR2230P,0,1228800,2,1651200,8.23,194.77,5.79,0,0
SXR2230P,0,1228800,2,1920000,11.1,207.61,4.54,0,0
SXR2230P,0,1228800,2,2054400,11.51,202.23,3.71,0,0
SXR2230P,0,1228800,2,2208000,9.88,211.16,5.16,0,0
SXR2230P,0,1228800,2,2361600,10.42,223.38,4.36,0,0
SXR2230P,0,1382400,2,691200,11.41,208.76,4.51,0,0
SXR2230P,0,1382400,2,960000,12.92,223.28,3.84,0,0
SXR2230P,0,1382400,2,1094400,9.82,216.2,5.66,0,0
SXR2230P,0,1382400,2,1228800,11.52,215.85,4.66,0,0
SXR2230P,0,1382400,2,1382400,12.27,216.04,4.15,0,0
SXR2230P,0,1382400,2,1516800,12.37,217.03,4.48,0,0
SXR2230P,0,1382400,2,1651200,12.33,220.17,4.74,0,0
SXR2230P,0,1382400,2,1920000,11.71,175.68,4.67,0,0
SXR2230P,0,1382400,2,2054400,12.0,225.95,4.62,0,0
SXR2230P,0,1382400,2,2208000,11.25,235.89,5.0,0,0
SXR2230P,0,1382400,2,2361600,16.02,241.14,0.31,0,0
SXR2230P,0,1516800,2,691200,16.17,249.02,2.22,0,0
SXR2230P,0,1516800,2,960000,13.86,262.22,4.48,0,0
SXR2230P,0,1516800,2,1094400,14.58,250.77,4.36,0,0
SXR2230P,0,1516800,2,1228800,13.69,252.42,5.01,0,0
SXR2230P,0,1516800,2,1382400,14.65,253.06,3.98,0,0
SXR2230P,0,1516800,2,1516800,13.83,252.54,5.12,0,0
SXR2230P,0,1516800,2,1651200,13.83,257.63,4.78,0,0
SXR2230P,0,1516800,2,1920000,10.22,273.89,7.5,0,0
SXR2230P,0,1516800,2,2054400,15.56,259.65,3.9,0,0
SXR2230P,0,1516800,2,2208000,16.29,266.37,3.53,0,0
SXR2230P,0,1516800,2,2361600,12.06,269.13,6.78,0,0
SXR2230P,0,1651200,2,691200,4.86,314.16,11.42,0,0
SXR2230P,0,1651200,2,960000,16.05,308.85,5.66,0,0
SXR2230P,0,1651200,2,1094400,15.7,308.84,5.79,0,0
SXR2230P,0,1651200,2,1228800,10.62,309.05,8.69,0,0
SXR2230P,0,1651200,2,1382400,13.54,305.82,7.02,0,0
SXR2230P,0,1651200,2,1516800,15.22,310.24,6.22,0,0
SXR2230P,0,1651200,2,1651200,9.84,299.11,9.09,0,0
SXR2230P,0,1651200,2,1920000,13.47,308.14,7.36,0,0
