device,policy,freq_khz,static,active,idle0,idle1
Tensor,4,400000,0,28.51,5.24,0
Tensor,4,553000,0,43.63,6.1,0
Tensor,4,696000,0,54.73,6.76,0
Tensor,4,799000,0,65.01,6.89,0
Tensor,4,910000,0,80.33,7.61,0
Tensor,4,1024000,0,92.91,8.32,0
Tensor,4,1197000,0,132.46,8.09,0
Tensor,4,1328000,0,146.82,9.6,0
Tensor,4,1491000,0,183.2,11.58,0
Tensor,4,1663000,0,238.55,12.02,0
Tensor,4,1836000,0,259.04,16.11,0
Tensor,4,1999000,0,361.98,15.7,0
Tensor,4,2130000,0,428.51,18.94,0
Tensor,4,2253000,0,527.05,23.5,0
Tensor,6,500000,0,87.31,16.14,0
Tensor,6,851000,0,170.29,19.88,0
Tensor,6,984000,0,207.43,20.55,0
Tensor,6,1106000,0,251.88,23.06,0
Tensor,6,1277000,0,306.57,25.12,0
Tensor,6,1426000,0,382.61,26.76,0
Tensor,6,1582000,0,465.9,29.74,0
Tensor,6,1745000,0,556.25,32.87,0
Tensor,6,1826000,0,613.51,36.01,0
Tensor,6,2048000,0,758.89,41.67,0
Tensor,6,2188000,0,874.03,47.92,0
Tensor,6,2252000,0,949.55,51.07,0
Tensor,6,2401000,0,1099.53,57.42,0
Tensor,6,2507000,0,1267.19,66.14,0
Tensor,6,2630000,0,1500.6,82.36,0
Tensor,6,2704000,0,1660.81,95.11,0
Tensor,6,2802000,0,1942.89,121.43,0
