device,policy,freq_khz,dep_policy,dep_freq,static,active,idle0,idle1,interconnect
Tensor,0,300000,4,400000,3.73,21.84,0.47,0,0
Tensor,0,300000,4,553000,5.66,18.97,0.99,0,0
Tensor,0,300000,6,500000,2.61,22.89,0.76,0,0
Tensor,0,574000,4,400000,5.73,35.85,0.93,0,0
Tensor,0,574000,4,553000,5.41,36.54,0.98,0,0
Tensor,0,574000,4,696000,5.61,32.98,0.99,0,0
Tensor,0,574000,4,799000,9.7,40.29,1.33,0,0
Tensor,0,574000,4,910000,9.81,44.42,1.24,0,0
Tensor,0,574000,4,1024000,9.71,43.95,1.31,0,0
Tensor,0,574000,6,500000,5.6,34.69,1.03,0,0
Tensor,0,574000,6,851000,5.57,33.66,1.02,0,0
Tensor,0,574000,6,984000,5.68,36.2,0.98,0,0
Tensor,0,574000,6,1106000,5.59,36.27,1.02,0,0
Tensor,0,738000,4,400000,6.62,47.66,1.08,0,0
Tensor,0,738000,4,553000,6.7,45.71,1.03,0,0
Tensor,0,738000,4,696000,6.7,46.21,1.04,0,0
Tensor,0,738000,4,799000,9.8,55.47,1.23,0,0
Tensor,0,738000,4,910000,9.69,52.58,1.31,0,0
Tensor,0,738000,4,1024000,9.77,54.81,1.3,0,0
Tensor,0,738000,4,1197000,18.75,75.3,2.05,0,0
Tensor,0,738000,4,1328000,18.98,75.84,1.91,0,0
Tensor,0,738000,6,500000,6.63,44.56,1.11,0,0
Tensor,0,738000,6,851000,6.65,46.62,1.08,0,0
Tensor,0,738000,6,984000,6.63,50.28,1.08,0,0
Tensor,0,738000,6,1106000,6.74,44.83,1.07,0,0
Tensor,0,738000,6,1277000,6.6,44.15,1.09,0,0
Tensor,0,738000,6,1426000,18.97,74.73,1.94,0,0
Tensor,0,930000,4,400000,9.64,81.16,1.27,0,0
Tensor,0,930000,4,553000,9.88,67.4,1.28,0,0
Tensor,0,930000,4,696000,9.69,67.33,1.3,0,0
Tensor,0,930000,4,799000,9.69,67.82,1.3,0,0
Tensor,0,930000,4,910000,9.79,67.52,1.29,0,0
Tensor,0,930000,4,1024000,9.75,65.44,1.28,0,0
Tensor,0,930000,4,1197000,18.84,83.73,2.0,0,0
Tensor,0,930000,4,1328000,18.88,101.57,1.97,0,0
Tensor,0,930000,4,1491000,18.86,94.45,1.99,0,0
Tensor,0,930000,4,1663000,35.46,134.93,3.29,0,0
Tensor,0,930000,4,1836000,35.34,135.55,3.36,0,0
Tensor,0,930000,6,500000,9.76,66.0,1.28,0,0
Tensor,0,930000,6,851000,9.8,73.08,1.24,0,0
Tensor,0,930000,6,984000,9.75,74.87,1.25,0,0
Tensor,0,930000,6,1106000,9.68,77.31,1.3,0,0
Tensor,0,930000,6,1277000,9.83,80.03,1.25,0,0
Tensor,0,930000,6,1426000,19.01,98.31,1.94,0,0
Tensor,0,930000,6,1582000,18.94,94.51,1.98,0,0
Tensor,0,930000,6,1745000,19.0,94.38,1.93,0,0
Tensor,0,930000,6,1826000,18.98,100.84,1.92,0,0
Tensor,0,1098000,4,400000,12.93,109.45,1.47,0,0
Tensor,0,1098000,4,553000,12.92,120.82,1.48,0,0
Tensor,0,1098000,4,696000,13.09,107.17,1.41,0,0
Tensor,0,1098000,4,799000,12.82,91.84,1.56,0,0
Tensor,0,1098000,4,910000,12.88,99.1,1.52,0,0
Tensor,0,1098000,4,1024000,12.81,87.32,1.57,0,0
Tensor,0,1098000,4,1197000,18.92,115.83,1.97,0,0
Tensor,0,1098000,4,1328000,18.97,137.08,1.93,0,0
Tensor,0,1098000,4,1491000,18.94,120.36,1.94,0,0
Tensor,0,1098000,4,1663000,35.21,156.0,3.43,0,0
Tensor,0,1098000,4,1836000,35.21,155.3,3.42,0,0
Tensor,0,1098000,4,1999000,35.49,157.04,3.24,0,0
Tensor,0,1098000,4,2130000,35.17,156.91,3.41,0,0
Tensor,0,1098000,6,500000,13.0,93.54,1.45,0,0
Tensor,0,1098000,6,851000,13.12,104.28,1.4,0,0
Tensor,0,1098000,6,984000,12.85,94.73,1.52,0,0
Tensor,0,1098000,6,1106000,12.68,95.73,1.6,0,0
Tensor,0,1098000,6,1277000,12.94,92.78,1.46,0,0
Tensor,0,1098000,6,1426000,18.81,128.5,2.03,0,0
Tensor,0,1098000,6,1582000,19.0,124.51,1.89,0,0
Tensor,0,1098000,6,1745000,18.75,121.84,2.0,0,0
Tensor,0,1098000,6,1826000,19.01,117.69,1.9,0,0
Tensor,0,1098000,6,2048000,18.97,107.49,1.89,0,0
Tensor,0,1098000,6,2188000,18.95,124.24,1.92,0,0
Tensor,0,1197000,4,400000,14.5,128.64,1.54,0,0
Tensor,0,1197000,4,553000,14.41,126.94,1.58,0,0
Tensor,0,1197000,4,696000,14.43,123.96,1.63,0,0
Tensor,0,1197000,4,799000,14.39,125.32,1.59,0,0
Tensor,0,1197000,4,910000,14.42,126.37,1.55,0,0
Tensor,0,1197000,4,1024000,14.5,110.43,1.54,0,0
Tensor,0,1197000,4,1197000,19.0,121.68,1.9,222.0,0
Tensor,0,1197000,4,1328000,18.88,122.27,1.96,0,0
Tensor,0,1197000,4,1491000,18.84,118.62,1.98,0,0
Tensor,0,1197000,4,1663000,35.35,175.31,3.32,0,0
Tensor,0,1197000,4,1836000,35.37,178.17,3.38,0,0
Tensor,0,1197000,4,1999000,35.34,186.68,3.38,0,0
Tensor,0,1197000,4,2130000,35.37,176.06,3.34,0,0
Tensor,0,1197000,4,2253000,35.29,169.24,3.38,111.0,0
Tensor,0,1197000,6,500000,14.47,95.77,1.55,0,0
Tensor,0,1197000,6,851000,14.42,101.17,1.6,0,0
Tensor,0,1197000,6,984000,14.21,116.52,1.68,0,0
Tensor,0,1197000,6,1106000,14.32,111.16,1.62,0,0
Tensor,0,1197000,6,1277000,14.42,84.46,1.6,0,0
Tensor,0,1197000,6,1426000,18.83,130.44,2.01,0,0
Tensor,0,1197000,6,1582000,18.98,140.9,1.9,0,0
Tensor,0,1197000,6,1745000,18.82,143.87,1.94,0,0
Tensor,0,1197000,6,1826000,18.91,131.75,1.96,0,0
Tensor,0,1197000,6,2048000,18.99,128.36,1.96,0,0
Tensor,0,1197000,6,2188000,18.71,132.46,2.07,0,0
Tensor,0,1197000,6,2252000,18.82,130.95,2.0,0,0
Tensor,0,1328000,4,400000,17.0,135.89,1.84,0,0
Tensor,0,1328000,4,553000,17.1,161.84,1.78,0,0
Tensor,0,1328000,4,696000,16.99,142.03,1.87,0,0
Tensor,0,1328000,4,799000,17.07,169.36,1.83,0,0
Tensor,0,1328000,4,910000,17.19,111.73,1.81,0,0
Tensor,0,1328000,4,1024000,17.21,128.66,1.78,0,0
Tensor,0,1328000,4,1197000,18.83,129.66,2.02,0,0
Tensor,0,1328000,4,1328000,18.88,132.55,1.96,0,0
Tensor,0,1328000,4,1491000,18.87,146.14,2.0,0,0
Tensor,0,1328000,4,1663000,35.43,185.94,3.27,0,0
Tensor,0,1328000,4,1836000,35.46,165.55,3.27,0,0
Tensor,0,1328000,4,1999000,35.37,186.76,3.29,0,0
Tensor,0,1328000,4,2130000,35.35,207.2,3.34,0,0
Tensor,0,1328000,4,2253000,35.31,209.73,3.42,0,0
Tensor,0,1328000,6,500000,17.15,130.76,1.77,0,0
Tensor,0,1328000,6,851000,17.06,123.6,1.84,0,0
Tensor,0,1328000,6,984000,17.21,130.23,1.77,0,0
Tensor,0,1328000,6,1106000,17.16,139.65,1.84,0,0
Tensor,0,1328000,6,1277000,17.14,123.95,1.83,0,0
Tensor,0,1328000,6,1426000,19.15,141.04,1.91,0,0
Tensor,0,1328000,6,1582000,19.13,108.29,1.91,0,0
Tensor,0,1328000,6,1745000,19.12,133.38,1.9,0,0
Tensor,0,1328000,6,1826000,18.87,137.51,2.06,0,0
Tensor,0,1328000,6,2048000,19.02,145.9,1.96,0,0
Tensor,0,1328000,6,2188000,19.06,129.5,1.94,0,0
Tensor,0,1328000,6,2252000,19.05,125.72,1.91,0,0
Tensor,0,1328000,6,2401000,35.57,187.29,3.33,0,0
Tensor,0,1328000,6,2507000,35.38,213.14,3.44,0,0
Tensor,0,1328000,6,2630000,35.47,181.15,3.41,0,0
Tensor,0,1401000,4,400000,18.85,184.12,2.06,0,0
Tensor,0,1401000,4,553000,18.91,168.23,1.98,0,0
Tensor,0,1401000,4,696000,19.11,184.69,1.92,0,0
Tensor,0,1401000,4,799000,19.16,175.13,1.91,0,0
Tensor,0,1401000,4,910000,19.02,161.7,1.97,0,0
Tensor,0,1401000,4,1024000,18.97,156.68,2.01,0,0
Tensor,0,1401000,4,1197000,19.07,155.0,1.97,0,0
Tensor,0,1401000,4,1328000,18.95,159.64,1.96,0,0
Tensor,0,1401000,4,1491000,19.13,136.78,1.95,0,0
Tensor,0,1401000,4,1663000,35.67,186.73,3.29,0,0
Tensor,0,1401000,4,1836000,35.51,220.26,3.45,0,0
Tensor,0,1401000,4,1999000,35.75,249.18,3.3,0,0
Tensor,0,1401000,4,2130000,35.65,217.48,3.4,0,0
Tensor,0,1401000,4,2253000,35.66,248.9,3.41,0,0
Tensor,0,1401000,6,500000,19.05,152.39,1.98,0,0
Tensor,0,1401000,6,851000,19.0,148.12,2.03,0,0
Tensor,0,1401000,6,984000,19.01,128.71,2.0,0,0
Tensor,0,1401000,6,1106000,18.18,132.83,2.01,0,0
Tensor,0,1401000,6,1277000,19.07,138.09,1.95,0,0
Tensor,0,1401000,6,1426000,18.92,144.69,2.05,0,0
