device,policy,freq_khz,dep_policy,dep_freq,static,active,idle0,idle1,interconnect
Tensor G4,0,820000,255,610000,3.3,47.6,1.04,0,38.91
Tensor G4,0,820000,255,820000,6.77,65.48,1.17,0,40.01
Tensor G4,0,820000,255,970000,8.61,78.56,1.28,0,43.15
Tensor G4,0,820000,255,1098000,12.5,92.7,1.28,0,45.32
Tensor G4,0,820000,255,1197000,15.24,110.72,1.46,0,47.38
Tensor G4,0,820000,255,1328000,21.73,134.04,1.58,0,50.48
Tensor G4,0,820000,255,1444000,26.89,151.02,1.75,0,56.58
Tensor G4,0,820000,255,1548000,31.53,164.93,1.8,0,63.97
Tensor G4,0,820000,255,1704000,43.86,157.18,2.24,0,82.77
Tensor G4,0,820000,255,1800000,52.1,137.62,2.64,0,97.5
Tensor G4,0,820000,255,1880000,59.74,145.28,2.44,0,119.12
Tensor G4,0,820000,255,1950000,71.34,156.19,3.12,0,140.94
Tensor G4,0,820000,255,2024000,86.3,155.05,3.53,0,158.93
Tensor G4,0,820000,255,2120000,112.45,176.15,4.74,0,167.02
Tensor G4,0,820000,255,2150000,112.1,155.11,4.69,0,168.17
Tensor G4,0,955000,255,610000,6.18,56.03,0.68,0,40.7
Tensor G4,0,955000,255,820000,6.39,74.22,1.21,0,41.62
Tensor G4,0,955000,255,970000,9.18,82.2,1.26,0,42.79
Tensor G4,0,955000,255,1098000,12.62,98.11,1.34,0,45.02
Tensor G4,0,955000,255,1197000,15.72,117.95,1.41,0,47.15
Tensor G4,0,955000,255,1328000,21.94,141.91,1.57,0,51.11
Tensor G4,0,955000,255,1444000,27.38,162.99,1.85,0,56.35
Tensor G4,0,955000,255,1548000,31.94,175.19,1.72,0,63.93
Tensor G4,0,955000,255,1704000,43.84,130.38,2.44,0,80.92
Tensor G4,0,955000,255,1800000,52.67,117.99,2.5,0,97.46
Tensor G4,0,955000,255,1880000,59.69,145.08,2.91,0,119.28
Tensor G4,0,955000,255,1950000,73.33,141.24,3.23,0,138.42
Tensor G4,0,955000,255,2024000,86.96,171.19,3.7,0,155.42
Tensor G4,0,955000,255,2120000,112.7,188.38,5.0,0,177.33
Tensor G4,0,955000,255,2150000,111.86,179.34,5.53,0,175.33
Tensor G4,0,1098000,255,610000,7.23,66.6,1.26,0,42.59
Tensor G4,0,1098000,255,820000,8.04,80.19,1.21,0,44.05
Tensor G4,0,1098000,255,970000,9.56,90.34,1.22,0,44.79
Tensor G4,0,1098000,255,1098000,12.86,109.5,1.33,0,45.13
Tensor G4,0,1098000,255,1197000,16.57,120.41,1.07,0,47.41
Tensor G4,0,1098000,255,1328000,22.15,145.31,1.54,0,51.27
Tensor G4,0,1098000,255,1444000,27.91,163.9,1.68,0,56.59
Tensor G4,0,1098000,255,1548000,32.01,174.89,1.87,0,63.56
Tensor G4,0,1098000,255,1704000,44.5,139.63,2.24,0,82.91
Tensor G4,0,1098000,255,1800000,53.21,140.32,2.52,0,98.77
Tensor G4,0,1098000,255,1880000,60.44,157.97,2.83,0,118.61
Tensor G4,0,1098000,255,1950000,73.65,169.76,3.28,0,139.4
Tensor G4,0,1098000,255,2024000,87.15,182.83,3.98,0,155.23
Tensor G4,0,1098000,255,2120000,114.08,187.49,4.17,0,175.41
Tensor G4,0,1098000,255,2150000,113.79,189.6,4.65,0,174.522
Tensor G4,0,1197000,255,610000,8.34,75.11,1.27,0,44.79
Tensor G4,0,1197000,255,820000,9.54,84.82,1.14,0,46.19
Tensor G4,0,1197000,255,970000,10.37,89.93,1.18,0,47.14
Tensor G4,0,1197000,255,1098000,12.81,104.44,1.37,0,47.67
Tensor G4,0,1197000,255,1197000,16.36,129.81,1.39,0,47.88
Tensor G4,0,1197000,255,1328000,22.4,145.01,1.64,0,51.79
Tensor G4,0,1197000,255,1444000,28.1,170.53,1.61,0,58.82
Tensor G4,0,1197000,255,1548000,32.23,186.28,1.91,0,64.85
Tensor G4,0,1197000,255,1704000,44.93,156.69,2.32,0,82.88
Tensor G4,0,1197000,255,1800000,53.17,151.91,2.43,0,99.43
Tensor G4,0,1197000,255,1880000,60.94,141.69,2.72,0,119.06
Tensor G4,0,1197000,255,1950000,73.72,189.86,3.42,0,140.37
Tensor G4,0,1197000,255,2024000,87.87,158.58,3.7,0,160.23
Tensor G4,0,1197000,255,2120000,114.16,193.12,4.81,0,175.46
Tensor G4,0,1197000,255,2150000,113.59,191.22,4.8,0,175.52
Tensor G4,0,1328000,255,610000,10.73,90.03,1.33,0,45.94
Tensor G4,0,1328000,255,820000,11.88,99.06,1.31,0,47.08
Tensor G4,0,1328000,255,970000,12.77,106.72,1.33,0,48.31
Tensor G4,0,1328000,255,1098000,13.12,110.06,1.39,0,48.53
Tensor G4,0,1328000,255,1197000,16.68,127.98,1.33,0,49.65
Tensor G4,0,1328000,255,1328000,22.66,154.27,1.68,0,51.65
Tensor G4,0,1328000,255,1444000,28.49,174.25,1.72,0,57.01
Tensor G4,0,1328000,255,1548000,32.16,191.25,1.73,0,64.03
Tensor G4,0,1328000,255,1704000,44.27,129.41,2.25,0,83.99
Tensor G4,0,1328000,255,1800000,53.79,154.61,2.51,0,98.82
Tensor G4,0,1328000,255,1880000,61.04,163.47,2.68,0,119.02
Tensor G4,0,1328000,255,1950000,75.05,189.16,3.08,0,141.06
Tensor G4,0,1328000,255,2024000,89.05,204.54,3.43,0,158.81
Tensor G4,0,1328000,255,2120000,115.33,210.24,4.36,0,173.54
Tensor G4,0,1328000,255,2150000,114.98,206.93,4.34,0,173.77
Tensor G4,0,1425000,255,610000,13.32,101.33,1.43,0,47.89
Tensor G4,0,1425000,255,820000,14.56,111.02,1.46,0,49.23
Tensor G4,0,1425000,255,970000,15.11,121.09,1.47,0,50.01
Tensor G4,0,1425000,255,1098000,16.25,128.03,1.41,0,51.13
Tensor G4,0,1425000,255,1197000,16.68,127.43,1.45,0,51.37
Tensor G4,0,1425000,255,1328000,22.57,156.98,1.68,0,52.05
Tensor G4,0,1425000,255,1444000,28.81,182.29,1.72,0,56.91
Tensor G4,0,1425000,255,1548000,33.08,198.0,1.83,0,63.86
Tensor G4,0,1425000,255,1704000,45.21,162.21,2.12,0,82.21
Tensor G4,0,1425000,255,1800000,54.37,167.27,2.5,0,97.75
Tensor G4,0,1425000,255,1880000,61.48,116.14,2.89,0,119.69
Tensor G4,0,1425000,255,1950000,74.85,180.6,3.49,0,140.14
Tensor G4,0,1425000,255,2024000,89.32,187.51,3.6,0,158.76
Tensor G4,0,1425000,255,2120000,115.2,203.97,4.57,0,173.93
Tensor G4,0,1425000,255,2150000,115.53,210.01,4.25,0,173.37
Tensor G4,0,1548000,255,610000,16.36,123.83,1.45,0,51.89
Tensor G4,0,1548000,255,820000,17.5,128.9,1.62,0,53.88
Tensor G4,0,1548000,255,970000,18.34,139.52,1.58,0,54.99
Tensor G4,0,1548000,255,1098000,19.32,149.77,1.53,0,55.07
Tensor G4,0,1548000,255,1197000,19.8,152.01,1.43,0,56.23
Tensor G4,0,1548000,255,1328000,22.59,159.55,1.61,0,57.38
Tensor G4,0,1548000,255,1444000,28.75,198.79,1.86,0,58.57
Tensor G4,0,1548000,255,1548000,33.46,211.95,1.77,0,64.24
Tensor G4,0,1548000,255,1704000,46.36,169.26,2.11,0,81.44
Tensor G4,0,1548000,255,1800000,54.71,177.24,2.42,0,98.93
Tensor G4,0,1548000,255,1880000,62.25,145.44,2.76,0,118.67
Tensor G4,0,1548000,255,1950000,75.84,191.27,3.09,0,138.91
Tensor G4,0,1548000,255,2024000,88.97,198.32,3.86,0,159.51
Tensor G4,0,1548000,255,2120000,115.79,232.48,4.72,0,170.67
Tensor G4,0,1548000,255,2150000,115.31,222.76,4.71,0,175.9
Tensor G4,0,1696000,255,610000,19.61,132.84,1.68,0,61.68
Tensor G4,0,1696000,255,820000,21.09,151.29,1.59,0,62.87
Tensor G4,0,1696000,255,970000,21.92,157.59,1.75,0,65.09
Tensor G4,0,1696000,255,1098000,22.76,163.33,1.59,0,64.94
Tensor G4,0,1696000,255,1197000,23.53,173.96,1.67,0,66.29
Tensor G4,0,1696000,255,1328000,24.28,184.05,1.58,0,67.43
Tensor G4,0,1696000,255,1444000,29.47,203.99,1.77,0,69.11
Tensor G4,0,1696000,255,1548000,33.94,225.78,1.7,0,69.96
Tensor G4,0,1696000,255,1704000,46.92,171.8,2.16,0,82.35
Tensor G4,0,1696000,255,1800000,55.32,217.17,2.38,0,97.02
Tensor G4,0,1696000,255,1880000,62.55,224.61,2.77,0,118.14
Tensor G4,0,1696000,255,1950000,76.98,204.48,2.82,0,138.26
Tensor G4,0,1696000,255,2024000,90.13,226.98,3.76,0,159.13
Tensor G4,0,1696000,255,2120000,116.77,245.48,4.52,0,172.53
Tensor G4,0,1696000,255,2150000,112.69,222.79,6.43,0,170.97
Tensor G4,0,1849000,255,610000,29.35,176.28,1.8,0,81.65
Tensor G4,0,1849000,255,820000,30.31,187.61,1.94,0,81.04
Tensor G4,0,1849000,255,970000,31.7,202.99,2.05,0,84.87
Tensor G4,0,1849000,255,1098000,32.48,207.22,2.01,0,85.41
Tensor G4,0,1849000,255,1197000,33.7,222.81,1.9,0,86.56
Tensor G4,0,1849000,255,1328000,34.79,229.5,1.9,0,87.77
Tensor G4,0,1849000,255,1444000,35.97,228.13,1.91,0,89.18
Tensor G4,0,1849000,255,1548000,36.59,235.62,2.01,0,87.37
Tensor G4,0,1849000,255,1704000,47.47,233.89,2.16,0,91.05
Tensor G4,0,1849000,255,1800000,55.69,211.69,2.53,0,99.17
Tensor G4,0,1849000,255,1880000,63.47,225.85,2.39,0,118.12
Tensor G4,0,1849000,255,1950000,77.22,209.34,3.0,0,140.14
Tensor G4,0,1849000,255,2024000,90.92,230.3,3.48,0,158.94
Tensor G4,0,1849000,255,2120000,117.19,247.78,4.49,0,174.55
Tensor G4,0,1849000,255,2150000,117.53,239.55,4.32,0,171.25
Tensor G4,0,1950000,255,610000,40.27,197.26,2.54,0,90.86
Tensor G4,0,1950000,255,820000,41.93,221.2,2.67,0,93.54
Tensor G4,0,1950000,255,970000,43.45,239.45,2.56,0,95.62
Tensor G4,0,1950000,255,1098000,44.27,240.43,2.64,0,97.26
Tensor G4,0,1950000,255,1197000,45.84,259.94,2.42,0,98.24
Tensor G4,0,1950000,255,1328000,47.03,273.66,2.55,0,100.11
Tensor G4,0,1950000,255,1444000,48.53,267.32,2.32,0,101.6
Tensor G4,0,1950000,255,1548000,49.59,232.85,2.35,0,102.48
Tensor G4,0,1950000,255,1704000,51.2,234.87,2.23,0,103.26
Tensor G4,0,1950000,255,1800000,55.47,205.6,2.67,0,104.45
Tensor G4,0,1950000,255,1880000,63.68,201.13,2.59,0,116.27
Tensor G4,0,1950000,255,1950000,77.22,201.28,3.13,0,137.52
Tensor G4,0,1950000,255,2024000,90.93,230.61,3.81,0,157.03
Tensor G4,0,1950000,255,2120000,118.19,233.8,4.28,0,172.43
Tensor G4,0,1950000,255,2150000,118.61,240.57,4.6,0,172.18
