device,freq_khz,dep_policy,dep_freq,l3_hit,l3_miss
Tensor G4,820000,255,610000,0.4824,0.8357
Tensor G4,955000,255,610000,0.4801,0.852
Tensor G4,1098000,255,610000,0.4988,0.8219
Tensor G4,1197000,255,610000,0.5025,0.8369
Tensor G4,1328000,255,610000,0.516,0.8928
Tensor G4,1425000,255,610000,0.5266,0.8895
Tensor G4,1548000,255,610000,0.5286,0.915
Tensor G4,1696000,255,610000,0.5288,1.0169
Tensor G4,1849000,255,610000,0.5326,1.1313
Tensor G4,1950000,255,610000,0.5495,1.1839
Tensor G4,820000,255,820000,0.4815,0.8114
Tensor G4,955000,255,820000,0.5055,0.9356
Tensor G4,1098000,255,820000,0.5168,0.9567
Tensor G4,1197000,255,820000,0.5228,0.8653
Tensor G4,1328000,255,820000,0.5228,0.8895
Tensor G4,1425000,255,820000,0.5309,0.9692
Tensor G4,1548000,255,820000,0.5461,0.9987
Tensor G4,1696000,255,820000,0.564,1.053
Tensor G4,1849000,255,820000,0.5649,0.9087
Tensor G4,1950000,255,820000,0.5737,1.0893
Tensor G4,820000,255,970000,0.4923,0.852
Tensor G4,955000,255,970000,0.5014,0.8357
Tensor G4,1098000,255,970000,0.4952,1.0169
Tensor G4,1197000,255,970000,0.5284,0.8594
Tensor G4,1328000,255,970000,0.5332,0.8521
Tensor G4,1425000,255,970000,0.5424,0.8612
Tensor G4,1548000,255,970000,0.5641,0.883
Tensor G4,1696000,255,970000,0.5524,0.915
Tensor G4,1849000,255,970000,0.5685,0.8765
Tensor G4,1950000,255,970000,0.5527,0.8164
Tensor G4,820000,255,1098000,0.5084,0.947
Tensor G4,955000,255,1098000,0.5177,0.8058
Tensor G4,1098000,255,1098000,0.5284,0.763
Tensor G4,1197000,255,1098000,0.596,0.8633
Tensor G4,1328000,255,1098000,0.596,0.8633
Tensor G4,1425000,255,1098000,0.5373,0.7504
Tensor G4,1548000,255,1098000,0.5186,0.8604
Tensor G4,1696000,255,1098000,0.5772,0.8973
Tensor G4,1849000,255,1098000,0.5758,0.9588
Tensor G4,1950000,255,1098000,0.5904,1.1074
Tensor G4,820000,255,1197000,0.5105,0.866
Tensor G4,955000,255,1197000,0.5241,0.8533
Tensor G4,1098000,255,1197000,0.5347,0.8569
Tensor G4,1197000,255,1197000,0.524,0.8318
Tensor G4,1328000,255,1197000,0.5298,0.8374
Tensor G4,1425000,255,1197000,0.5201,0.9479
Tensor G4,1548000,255,1197000,0.497,0.9093
Tensor G4,1696000,255,1197000,0.5007,0.8765
Tensor G4,1849000,255,1197000,0.6107,0.8682
Tensor G4,1950000,255,1197000,0.5888,0.9738
Tensor G4,820000,255,1328000,0.534,0.9162
Tensor G4,955000,255,1328000,0.5551,0.9499
Tensor G4,1098000,255,1328000,0.556,0.954
