device,policy,freq_khz,static,active,idle0,idle1
Tensor G5,2,177000,0.96,14.44,3.57,0
Tensor G5,2,266000,1.36,18.96,3.25,0
Tensor G5,2,400000,1.08,24.2,3.47,0
Tensor G5,2,533000,1.62,30.95,3.36,0
Tensor G5,2,652000,1.82,36.84,3.55,0
Tensor G5,2,729000,2.05,39.49,3.58,0
Tensor G5,2,921000,1.99,49.74,4.28,0
Tensor G5,2,1075000,2.61,60.67,4.19,0
Tensor G5,2,1267000,2.95,70.2,4.54,0
Tensor G5,2,1401000,3.56,79.7,4.83,0
Tensor G5,2,1536000,3.73,90.73,4.94,0
Tensor G5,2,1670000,4.17,98.93,5.2,0
Tensor G5,2,1785000,4.5,102.32,5.32,0
Tensor G5,2,1862000,4.73,119.87,5.83,0
Tensor G5,2,1939000,5.6,122.11,5.7,0
Tensor G5,2,2092000,5.05,147.96,7.62,0
Tensor G5,2,2188000,6.94,150.24,6.78,0
Tensor G5,2,2284000,7.28,170.33,7.31,0
Tensor G5,2,2400000,8.62,187.18,7.67,0
Tensor G5,2,2534000,9.81,207.25,8.63,0
Tensor G5,2,2688000,11.57,242.0,9.78,0
Tensor G5,2,2841000,13.91,301.26,12.95,0
Tensor G5,2,2937000,16.43,321.24,16.69,0
Tensor G5,2,3052000,19.67,394.63,21.27,0
