device,policy,freq_khz,dep_policy,dep_freq,static,active,idle0,idle1
Tensor G5,0,268000,255,115000000,15.38,7.88,0.11,0
Tensor G5,0,268000,255,268000000,14.63,14.04,1.89,0
Tensor G5,0,268000,255,400000000,16.55,20.75,1.1,0
Tensor G5,0,268000,255,537000000,19.11,25.02,1.01,0
Tensor G5,0,268000,255,691000000,23.19,34.83,1.34,0
Tensor G5,0,268000,255,768000000,26.06,38.12,1.14,0
Tensor G5,0,268000,255,844000000,28.85,10.76,1.22,0
Tensor G5,0,268000,255,960000000,32.34,52.63,1.27,0
Tensor G5,0,268000,255,1056000000,38.77,52.47,1.24,0
Tensor G5,0,268000,255,1132000000,37.64,62.55,1.23,0
Tensor G5,0,268000,255,1228000000,41.25,68.97,1.17,0
Tensor G5,0,268000,255,1324000000,44.53,74.26,1.2,0
Tensor G5,0,268000,255,1420000000,48.28,85.23,1.45,0
Tensor G5,0,268000,255,1516000000,52.09,90.09,1.35,0
Tensor G5,0,268000,255,1612000000,54.77,95.13,1.33,0
Tensor G5,0,268000,255,1728000000,65.3,109.03,1.53,0
Tensor G5,0,268000,255,1843000000,68.93,130.0,1.05,0
Tensor G5,0,268000,255,1920000000,78.89,131.44,1.92,0
Tensor G5,0,268000,255,1996000000,85.37,139.68,1.36,0
Tensor G5,0,268000,255,2092000000,96.41,167.55,1.66,0
Tensor G5,0,268000,255,2188000000,103.8,186.28,2.36,0
Tensor G5,0,345000,255,115000000,13.03,9.71,0.94,0
Tensor G5,0,345000,255,268000000,15.56,16.65,1.61,0
Tensor G5,0,345000,255,400000000,17.81,20.36,0.35,0
Tensor G5,0,345000,255,537000000,20.02,29.11,0.93,0
Tensor G5,0,345000,255,691000000,24.83,35.59,0.46,0
Tensor G5,0,345000,255,768000000,26.79,40.61,0.79,0
Tensor G5,0,345000,255,844000000,29.23,46.36,1.03,0
Tensor G5,0,345000,255,960000000,33.26,54.77,0.57,0
Tensor G5,0,345000,255,1056000000,35.24,63.16,0.87,0
Tensor G5,0,345000,255,1132000000,38.1,68.68,0.93,0
Tensor G5,0,345000,255,1228000000,40.04,76.41,2.53,0
Tensor G5,0,345000,255,1324000000,44.69,78.79,1.15,0
Tensor G5,0,345000,255,1420000000,48.98,94.16,1.08,0
Tensor G5,0,345000,255,1516000000,52.4,100.6,1.11,0
Tensor G5,0,345000,255,1612000000,58.33,110.56,1.07,0
Tensor G5,0,345000,255,1728000000,91.97,104.29,0.9,0
Tensor G5,0,345000,255,1843000000,73.52,142.75,0.98,0
Tensor G5,0,345000,255,1920000000,79.46,158.68,1.57,0
Tensor G5,0,345000,255,1996000000,85.61,167.47,1.41,0
Tensor G5,0,345000,255,2092000000,97.08,188.3,1.24,0
Tensor G5,0,345000,255,2188000000,104.12,201.35,0.55,0
Tensor G5,0,422000,255,115000000,14.26,10.39,0.56,0
Tensor G5,0,422000,255,268000000,15.58,17.03,0.64,0
Tensor G5,0,422000,255,400000000,18.04,22.22,0.90,0
Tensor G5,0,422000,255,537000000,20.33,32.69,0.87,0
Tensor G5,0,422000,255,691000000,22.57,40.93,0.99,0
Tensor G5,0,422000,255,768000000,27.44,47.9,1.11,0
Tensor G5,0,422000,255,844000000,29.86,48.01,0.62,0
Tensor G5,0,422000,255,960000000,31.79,58.2,1.08,0
Tensor G5,0,422000,255,1056000000,34.03,69.79,1.26,0
Tensor G5,0,422000,255,1132000000,38.34,71.23,0.78,0
Tensor G5,0,422000,255,1228000000,41.75,76.41,0.96,0
Tensor G5,0,422000,255,1324000000,44.81,84.19,1.09,0
Tensor G5,0,422000,255,1420000000,46.34,93.12,1.84,0
Tensor G5,0,422000,255,1516000000,52.79,109.98,1.02,0
Tensor G5,0,422000,255,1612000000,58.92,121.77,1.78,0
Tensor G5,0,422000,255,1728000000,66.4,125.05,1.0,0
Tensor G5,0,422000,255,1843000000,73.24,155.18,1.27,0
Tensor G5,0,422000,255,1920000000,79.7,169.78,1.52,0
Tensor G5,0,422000,255,1996000000,85.83,169.27,1.37,0
Tensor G5,0,422000,255,2092000000,97.68,198.51,1.01,0
Tensor G5,0,422000,255,2188000000,108.82,219.75,1.1,0
Tensor G5,0,460000,255,115000000,14.4,10.87,0.3,0
Tensor G5,0,460000,255,268000000,16.12,20.76,0.51,0
Tensor G5,0,460000,255,400000000,18.59,27.03,0.63,0
Tensor G5,0,460000,255,537000000,20.5,32.26,0.67,0
Tensor G5,0,460000,255,691000000,15.76,42.04,1.34,0
Tensor G5,0,460000,255,768000000,26.92,45.26,0.81,0
Tensor G5,0,460000,255,844000000,29.65,51.15,0.84,0
Tensor G5,0,460000,255,960000000,33.22,64.57,0.76,0
Tensor G5,0,460000,255,1056000000,35.32,72.52,0.91,0
Tensor G5,0,460000,255,1132000000,38.8,79.61,0.49,0
Tensor G5,0,460000,255,1228000000,42.32,88.23,0.6,0
Tensor G5,0,460000,255,1324000000,45.29,94.03,0.8,0
Tensor G5,0,460000,255,1420000000,49.15,102.06,0.93,0
Tensor G5,0,460000,255,1516000000,52.59,100.8,1.16,0
Tensor G5,0,460000,255,1612000000,58.83,112.1,0.85,0
Tensor G5,0,460000,255,1728000000,66.13,127.77,1.24,0
Tensor G5,0,460000,255,1843000000,73.7,154.89,0.93,0
Tensor G5,0,460000,255,1920000000,79.8,171.36,1.67,0
Tensor G5,0,460000,255,1996000000,86.18,167.59,1.12,0
Tensor G5,0,460000,255,2092000000,97.45,185.37,1.27,0
Tensor G5,0,460000,255,2188000000,108.94,203.97,1.04,0
Tensor G5,0,533000,255,115000000,14.3,11.55,0.64,0
Tensor G5,0,533000,255,268000000,16.65,20.88,0.42,0
Tensor G5,0,533000,255,400000000,18.35,29.02,0.59,0
Tensor G5,0,533000,255,537000000,19.83,38.27,1.36,0
Tensor G5,0,533000,255,691000000,24.29,46.66,0.46,0
Tensor G5,0,533000,255,768000000,27.09,48.99,0.52,0
Tensor G5,0,533000,255,844000000,28.18,51.64,1.05,0
Tensor G5,0,533000,255,960000000,31.37,61.18,1.45,0
Tensor G5,0,533000,255,1056000000,35.72,73.64,0.55,0
Tensor G5,0,533000,255,1132000000,38.17,72.72,0.77,0
Tensor G5,0,533000,255,1228000000,41.76,83.2,0.81,0
Tensor G5,0,533000,255,1324000000,44.91,98.8,0.9,0
Tensor G5,0,533000,255,1420000000,49.19,111.71,0.77,0
Tensor G5,0,533000,255,1516000000,52.54,114.06,0.96,0
Tensor G5,0,533000,255,1612000000,58.69,129.09,0.72,0
Tensor G5,0,533000,255,1728000000,66.35,133.39,0.81,0
Tensor G5,0,533000,255,1843000000,69.46,158.55,1.9,0
Tensor G5,0,533000,255,1920000000,80.14,160.82,1.01,0
Tensor G5,0,533000,255,1996000000,85.93,176.23,1.14,0
Tensor G5,0,533000,255,2092000000,96.43,206.06,1.61,0
Tensor G5,0,533000,255,2188000000,107.77,221.39,1.52,0
Tensor G5,0,729000,255,115000000,15.92,15.42,1.23,0
Tensor G5,0,729000,255,268000000,18.31,28.5,0.86,0
Tensor G5,0,729000,255,400000000,20.51,37.87,0.74,0
Tensor G5,0,729000,255,537000000,22.42,44.91,0.72,0
Tensor G5,0,729000,255,691000000,23.82,51.09,1.63,0
Tensor G5,0,729000,255,768000000,27.02,60.86,1.27,0
Tensor G5,0,729000,255,844000000,30.12,64.8,0.77,0
Tensor G5,0,729000,255,960000000,33.05,72.37,1.54,0
Tensor G5,0,729000,255,1056000000,36.2,83.3,0.91,0
Tensor G5,0,729000,255,1132000000,37.15,88.36,1.52,0
Tensor G5,0,729000,255,1228000000,41.42,102.86,1.02,0
Tensor G5,0,729000,255,1324000000,44.41,112.95,1.25,0
Tensor G5,0,729000,255,1420000000,50.58,126.07,0.47,0
Tensor G5,0,729000,255,1516000000,54.01,139.42,0.51,0
Tensor G5,0,729000,255,1612000000,59.5,146.77,0.78,0
Tensor G5,0,729000,255,1728000000,67.14,168.02,1.02,0
Tensor G5,0,729000,255,1843000000,74.48,181.33,0.97,0
Tensor G5,0,729000,255,1920000000,85.8,222.78,0.72,0
Tensor G5,0,729000,255,1996000000,87.08,226.78,1.16,0
Tensor G5,0,729000,255,2092000000,98.98,254.91,0.8,0
Tensor G5,0,729000,255,2188000000,103.8,290.34,1.07,0
Tensor G5,0,883000,255,115000000,19.46,17.48,0.12,0
Tensor G5,0,883000,255,268000000,21.3,32.12,0.18,0
Tensor G5,0,883000,255,400000000,22.68,43.41,0.59,0
Tensor G5,0,883000,255,537000000,24.87,51.34,0.47,0
Tensor G5,0,883000,255,691000000,26.93,59.0,0.56,0
Tensor G5,0,883000,255,768000000,29.44,60.66,0.09,0
Tensor G5,0,883000,255,844000000,29.33,70.19,0.84,0
Tensor G5,0,883000,255,960000000,33.06,83.65,0.71,0
